Subject,Type,x.0.1,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,y.0.1,y.1.1,y.2.1,y.3.1,y.4.1,y.5.1,y.6.1,x.0.4,x.1.4,x.2.4,x.3.4,x.4.4,x.5.4,x.6.4,y.0.4,y.1.4,y.2.4,y.3.4,y.4.4,y.5.4,y.6.4,x.0.5,x.1.5,x.2.5,x.3.5,x.4.5,x.5.5,x.6.5,y.0.5,y.1.5,y.2.5,y.3.5,y.4.5,y.5.5,y.6.5,x.0.3,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,y.0.3,y.1.3,y.2.3,y.3.3,y.4.3,y.5.3,y.6.3,x.0.2,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,y.0.2,y.1.2,y.2.2,y.3.2,y.4.2,y.5.2,y.6.2
52,Fall,0.818039155,0.159014829,0.338719931,0.485545412,0.404242439,0.255137452,0.176661272,0.648954032,0.082932789,0.174571794,0.277838712,0.265734103,0.285112054,0.150979732,0.121968073,0.424862931,0.208527205,0.083145772,0.043329698,0.020483425,0.015571157,0.089191805,0.304895124,0.239102192,0.099933695,0.058882363,0.018810427,0.015430289,0.491665187,0.304917708,0.164716159,0.073133893,0.041030878,0.020584038,0.013016777,0.367286985,0.162243355,0.187107854,0.091692046,0.058530099,0.016876637,0.016019524,3987.598517,151.7279817,689.2911987,1405.003075,994.2722218,408.3896586,188.3294265,2576.961559,41.25279471,182.4089583,462.2890973,425.4849625,503.6100765,142.1467146,0.35,1.383333333,0.783333333,0.416666667,0.2,0.083333333,0.083333333,0.233333333,1.25,0.85,0.45,0.283333333,0.116666667,0.066666667
52,Fall,0.964136088,0.194894968,0.503200232,0.567442995,0.256307553,0.219126308,0.230095116,0.76154299,0.1268833,0.237195603,0.414665555,0.220970292,0.196218477,0.205630852,0.124978105,0.432896685,0.155160307,0.079236819,0.054891518,0.025122871,0.012140384,0.085979692,0.215919253,0.18589023,0.081170199,0.048057345,0.021569705,0.011512594,0.484513893,0.311413648,0.127399489,0.071793526,0.054466099,0.02615923,0.011363836,0.352440962,0.096248934,0.129978645,0.07798251,0.045462037,0.021815305,0.011727876,5523.473589,227.8969302,1521.550271,1935.210963,397.1063689,292.0382858,324.877562,2867.296606,96.61556001,337.7828471,1032.17177,293.2959988,232.6841314,268.2388951,0.366666667,1.583333333,0.616666667,0.383333333,0.266666667,0.116666667,0.066666667,0.316666667,0.816666667,0.716666667,0.366666667,0.233333333,0.116666667,0.05
56,Fall,1.085120749,0.093590771,0.187249708,0.39555681,0.652150171,0.54022399,0.481351212,1.113223845,0.055869254,0.124774735,0.313965182,0.614581801,0.337345995,0.63355384,0.069146257,0.459183002,0.228171855,0.094545779,0.046069699,0.025843535,0.012478697,0.048315097,0.366523898,0.272166131,0.082200926,0.042031528,0.026986817,0.012729147,0.491611756,0.275577902,0.170455221,0.091141119,0.044400267,0.025731028,0.011771724,0.441186911,0.211873117,0.194445034,0.067297932,0.037073673,0.026999455,0.01303102,7219.166985,52.5344259,210.5270609,940.8461953,2554.048106,1770.177991,1436.739301,7114.050416,18.7327848,93.45061812,591.1896876,2282.18574,691.062852,2274.543726,0.2,1.75,0.766666667,0.416666667,0.233333333,0.133333333,0.066666667,0.15,1.65,0.95,0.366666667,0.2,0.133333333,0.066666667
56,Fall,1.214575218,0.119905287,0.253693624,0.574413029,0.59184428,0.532609723,0.458231277,1.091270283,0.049225862,0.135319311,0.402059954,0.556041641,0.393708274,0.644517504,0.065298848,0.347937322,0.20518294,0.07008029,0.049147128,0.024652163,0.012019418,0.047744054,0.381270375,0.266769778,0.070613376,0.042625371,0.018225965,0.008284011,0.486891079,0.205563703,0.139030611,0.065243103,0.037969195,0.022542597,0.011487007,0.384938338,0.24470694,0.186198265,0.069586269,0.041359279,0.015799953,0.005974828,8915.342062,86.28351236,386.2724557,2002.991808,2089.796441,1717.517847,1275.042769,7311.581961,14.53706367,109.8933624,969.2788999,1858.743997,930.4980794,2633.228569,0.183333333,1.216666667,0.783333333,0.3,0.25,0.133333333,0.066666667,0.133333333,1.25,0.933333333,0.3,0.216666667,0.1,0.05
56,Fall,1.311557023,0.08094366,0.255327593,0.483027172,0.60633368,0.945501014,0.456070012,1.18957155,0.091157853,0.134602638,0.252434159,0.803956506,0.465819177,0.177214824,0.062571983,0.524376254,0.234515005,0.07645149,0.042876879,0.021943852,0.009482294,0.050612884,0.293777496,0.288675265,0.094919193,0.035634309,0.020495204,0.01100056,0.540187006,0.382481754,0.169138688,0.074379371,0.040143403,0.020017388,0.009430226,0.527695321,0.126087477,0.253448566,0.090832026,0.034761581,0.019963926,0.009656194,10349.68889,39.30650079,391.1657352,1402.430909,2213.990811,5451.577554,1300.593706,8157.804186,49.88062024,108.7449414,385.7293964,3961.455764,1332.611199,194.6570841,0.183333333,1.95,0.816666667,0.333333333,0.2,0.116666667,0.05,0.133333333,1.366666667,0.95,0.366666667,0.166666667,0.1,0.066666667
64,Fall,1.379284078,0.167121846,0.417342735,0.619427782,0.632800181,0.483938219,0.853523536,1.096627192,0.094461186,0.306566457,0.459484226,0.659334409,0.421135049,0.513487168,0.146934694,0.591767924,0.336740044,0.135881675,0.066708602,0.033329486,0.009466832,0.096216386,0.504115,0.204671669,0.119191817,0.056344795,0.020040065,0.007782228,0.617703042,0.480724432,0.259899559,0.119976244,0.063383289,0.032660555,0.008482062,0.497960304,0.354965439,0.135770352,0.096181155,0.053002435,0.020118457,0.006610781,11573.83895,167.6182446,1045.696946,2303.527256,2399.438128,1413.315009,4344.001301,6915.707131,53.54968408,563.0502645,1266.953013,2612.96627,1088.752703,1690.770661,0.3,2.7,1.15,0.583333333,0.333333333,0.166666667,0.05,0.316666667,2.2,0.716666667,0.533333333,0.266666667,0.083333333,0.033333333
64,Fall,1.423578955,0.161466172,0.39517063,0.464615023,0.372537467,0.538953121,0.695515404,1.121377315,0.070515441,0.282053375,0.51143054,0.548424745,0.419374463,0.493981026,0.108519907,0.570618974,0.292170288,0.118208495,0.066925703,0.028842651,0.01249087,0.079407384,0.510287919,0.187960243,0.099240502,0.054239965,0.032209583,0.013506882,0.568871133,0.460800282,0.234132061,0.11035183,0.060058448,0.029121462,0.01207813,0.461596317,0.392552367,0.114409143,0.074228989,0.054623265,0.02785453,0.012972275,11733.37906,156.4796524,937.7503827,1301.067727,832.1609205,1745.482759,2940.117636,7282.323726,29.84075347,477.404625,1570.483783,1803.424724,1066.420978,1555.339339,0.183333333,2.4,1.016666667,0.466666667,0.333333333,0.15,0.066666667,0.25,2.05,0.65,0.45,0.266666667,0.166666667,0.066666667
64,Fall,1.355637619,0.14093617,0.300961093,0.598984416,0.575034744,0.54101302,0.581732238,1.406268951,0.065989126,0.184641007,0.312939741,0.622973012,0.814500748,0.436888675,0.125438384,0.592373348,0.374258677,0.131908271,0.06671241,0.035897574,0.014287191,0.054123503,0.534481624,0.238518028,0.122350867,0.053272978,0.020438879,0.014699709,0.614329328,0.511922202,0.321855641,0.123469444,0.065143838,0.036446005,0.015106144,0.461556217,0.438758283,0.175332274,0.098766461,0.049593665,0.020971081,0.01501586,11151.65326,119.2131394,543.7459977,2152.962851,1981.320386,1786.468065,2181.347389,11581.45038,26.14263781,204.6600415,581.8905683,2334.538347,4179.752932,1119.194269,0.283333333,2.783333333,1.266666667,0.55,0.316666667,0.166666667,0.05,0.133333333,1.483333333,0.766666667,0.516666667,0.266666667,0.083333333,0.066666667
72,Fall,0.916180684,0.162990404,0.406555398,0.393055904,0.445197347,0.260968261,0.178498691,0.713148213,0.071624887,0.27902098,0.380697446,0.251526929,0.18235757,0.204408771,0.177459464,0.583834376,0.238357864,0.132395886,0.061194731,0.027383462,0.017109544,0.126171106,0.543242698,0.222802379,0.119845448,0.055997821,0.032386894,0.017351279,0.619786717,0.509873145,0.209069298,0.135754666,0.060599105,0.028617138,0.017203985,0.44524243,0.413766342,0.139625773,0.106375653,0.056252106,0.033904748,0.016044027,4644.742624,159.4526627,992.3798758,928.0815944,1179.787994,415.7197963,198.1245565,3056.246341,30.79199697,467.4155124,871.0252932,384.9297904,204.2065074,257.1919361,0.45,2.683333333,0.816666667,0.566666667,0.3,0.15,0.083333333,0.35,2.183333333,0.816666667,0.533333333,0.25,0.15,0.083333333
72,Fall,0.968540805,0.241997535,0.558929783,0.516300429,0.43040369,0.282420752,0.177290488,0.708683059,0.140281832,0.35764412,0.355056224,0.277546598,0.187044046,0.219231978,0.215304491,0.566098348,0.207892179,0.117787072,0.052158604,0.030284619,0.011134478,0.181327824,0.519755731,0.241469113,0.122050186,0.062618104,0.039893689,0.016393968,0.58025849,0.494999347,0.182455929,0.11310683,0.051761578,0.026859973,0.011691424,0.44254527,0.386815245,0.182706547,0.100506266,0.060116984,0.037304752,0.016688123,5662.736033,351.2450315,1849.61357,1603.207242,1118.224472,480.5850976,199.4788485,2918.584227,118.072034,767.9992092,756.4662595,462.5629856,211.3766903,288.8341607,0.516666667,2.15,0.716666667,0.516666667,0.25,0.15,0.066666667,0.5,2.016666667,0.883333333,0.566666667,0.316666667,0.2,0.083333333
