Subject,Type,x.0.1,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,y.0.1,y.1.1,y.2.1,y.3.1,y.4.1,y.5.1,y.6.1,x.0.4,x.1.4,x.2.4,x.3.4,x.4.4,x.5.4,x.6.4,y.0.4,y.1.4,y.2.4,y.3.4,y.4.4,y.5.4,y.6.4,x.0.5,x.1.5,x.2.5,x.3.5,x.4.5,x.5.5,x.6.5,y.0.5,y.1.5,y.2.5,y.3.5,y.4.5,y.5.5,y.6.5,x.0.3,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,y.0.3,y.1.3,y.2.3,y.3.3,y.4.3,y.5.3,y.6.3,x.0.2,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,y.0.2,y.1.2,y.2.2,y.3.2,y.4.2,y.5.2,y.6.2
52,Fall,0.546725088,0.012865335,0.05236044,0.112636244,0.248007022,0.256724309,0.14249388,0.285155741,0.004548168,0.021106196,0.062045571,0.082687088,0.086422208,0.087596807,0.037382006,0.484057626,0.310246481,0.102959543,0.035379924,0.018661383,0.008947657,0.044015276,0.654680072,0.366942519,0.12054173,0.069551064,0.02982751,0.014705591,0.591150089,0.409973366,0.22831881,0.097693646,0.035556074,0.018869168,0.008591643,0.606310532,0.610097745,0.255468091,0.105353966,0.068885487,0.031187173,0.014810357,1047.788964,0.993303333,16.45911772,76.49588153,375.1386075,413.1389065,127.0350089,313.2688064,0.124118054,2.673854921,23.05721354,40.99786876,45.32937105,46.53763534,0.133333333,1.4,1.083333333,0.4,0.166666667,0.083333333,0.05,0.133333333,5.866666667,1.266666667,0.5,0.333333333,0.15,0.083333333
52,Fall,0.373487463,0.01264249,0.05123512,0.062534733,0.157315172,0.180961517,0.173447624,0.182797969,0.003623028,0.03544527,0.064224589,0.061406967,0.064441311,0.05389228,0.056574362,0.497179944,0.275421438,0.164286774,0.055136212,0.032067904,0.016926286,0.072988894,0.661386609,0.25647641,0.102331123,0.077679261,0.042920221,0.018414793,0.615741201,0.414885553,0.158346951,0.149357588,0.052554073,0.026335917,0.016160842,0.636550522,0.623500782,0.151852543,0.094447951,0.072748914,0.038070872,0.017986466,851.4251704,0.959245965,15.76099625,23.48055104,150.943782,199.807232,185.5760566,170.8634277,0.078775484,7.571156462,24.84110913,22.72764705,25.08852019,17.78306369,0.15,1.683333333,1.033333333,0.633333333,0.233333333,0.166666667,0.083333333,0.216666667,6.616666667,0.833333333,0.4,0.366666667,0.2,0.1
56,Fall,0.534975878,0.115124863,0.150833611,0.135008239,0.115728113,0.137131241,0.225652696,0.457486695,0.096218144,0.103485864,0.069808238,0.129840881,0.15532105,0.20670476,0.079217071,0.139780289,0.200688505,0.140955512,0.073521924,0.032837116,0.013280368,0.064212647,0.111598786,0.221153695,0.126283892,0.044394121,0.019947451,0.013717598,0.391088602,0.073380449,0.14324637,0.132802485,0.069700645,0.032993053,0.013348717,0.226581318,0.018658267,0.110189171,0.120681456,0.04341505,0.018352632,0.013376082,1440.714106,79.58232073,137.0604735,109.4037095,81.02191965,110.5206427,314.9395392,1013.359801,55.55322499,64.26211132,29.28043967,103.2803815,149.1106892,263.6725039,0.116666667,0.783333333,0.683333333,0.566666667,0.333333333,0.166666667,0.066666667,0.1,0.95,0.9,0.533333333,0.183333333,0.1,0.066666667
56,Fall,0.585756424,0.047677656,0.083180729,0.169571151,0.191221069,0.283915048,0.324256406,0.544330622,0.007945779,0.057865764,0.059524943,0.106199698,0.120391914,0.352720272,0.050457623,0.262516299,0.260984284,0.091571679,0.049215374,0.021850241,0.007951951,0.028753976,0.601729691,0.224588619,0.133089745,0.047932909,0.023206558,0.007076055,0.465782882,0.173204422,0.154924066,0.07846755,0.04892075,0.021995955,0.008367945,0.349348099,0.524529555,0.117522677,0.118485072,0.044791679,0.023613894,0.007209683,1996.375325,13.64406831,41.50670822,172.7203572,219.4554377,485.5349546,663.9025985,1311.238641,0.378917162,20.09650136,21.33125288,69.11373656,89.99469682,777.416472,0.1,0.9,0.966666667,0.416666667,0.233333333,0.1,0.033333333,0.066666667,3.083333333,0.883333333,0.533333333,0.2,0.1,0.033333333
56,Fall,0.667073565,0.031952585,0.123111969,0.165030704,0.180596218,0.328348925,0.203031368,0.682643045,0.007211841,0.040003459,0.048760301,0.079734959,0.149025462,0.241933661,0.04780743,0.348072279,0.205875206,0.097473076,0.051044316,0.019342527,0.008653523,0.018501366,0.581808874,0.217112853,0.135802236,0.062193044,0.024757368,0.011977156,0.557507493,0.270869998,0.11321581,0.071863547,0.049269752,0.019342349,0.009238993,0.380842616,0.511224464,0.091678088,0.113257012,0.05993483,0.019621955,0.01128574,1743.312229,6.020675866,90.99782667,164.3457665,198.2887284,676.7178214,269.7397764,1542.217659,0.312602589,9.605952538,14.27714162,38.38536989,135.1715648,345.7309795,0.15,0.566666667,0.783333333,0.416666667,0.216666667,0.1,0.05,0.066666667,2.033333333,0.933333333,0.566666667,0.283333333,0.133333333,0.066666667
64,Fall,0.481931658,0.109996712,0.088390939,0.118917404,0.177723001,0.138584346,0.099860074,0.166742634,0.005513332,0.057301297,0.070427816,0.0783862,0.063934657,0.048481382,0.095185269,0.154024533,0.336948176,0.139010246,0.059698049,0.034983565,0.01788337,0.103288109,0.648290087,0.16650832,0.145308223,0.073208616,0.037296586,0.01973659,0.357936484,0.09335679,0.253642897,0.114656354,0.061154948,0.035324764,0.017836153,0.161928261,0.596811895,0.089650926,0.127546169,0.072108402,0.037970908,0.019739799,1403.361159,72.60921859,46.87563059,84.93873949,190.4434255,116.4352275,58.20319447,147.3713462,0.182372236,19.70152694,29.77261865,36.93225047,24.7854443,14.57221284,0.133333333,1.233333333,1.266666667,0.516666667,0.266666667,0.166666667,0.1,0.366666667,4.6,0.583333333,0.6,0.35,0.183333333,0.1
64,Fall,0.586478482,0.031811431,0.071082262,0.123257177,0.225873775,0.160209481,0.085166659,0.189415252,0.005525806,0.04004818,0.061816799,0.070256037,0.050063912,0.086746259,0.051315753,0.496533491,0.326528845,0.113508586,0.052683277,0.024037637,0.015329962,0.078585053,0.630440514,0.206236454,0.140813716,0.071608267,0.039680173,0.009422704,0.558382955,0.371218644,0.235345051,0.097967839,0.052634478,0.024299594,0.015501359,0.465860432,0.575686252,0.140064285,0.134396694,0.066950528,0.040312077,0.009296646,1353.511975,6.071756112,30.29006523,91.15874428,305.9822798,156.6450353,44.37685287,207.1447387,0.183272353,9.626342646,22.99346121,29.51892754,15.07214088,44.12536053,0.133333333,2.2,1.1,0.483333333,0.266666667,0.116666667,0.083333333,0.166666667,4.516666667,0.8,0.516666667,0.35,0.2,0.05
64,Fall,0.491579411,0.019859886,0.064608531,0.165978947,0.224207438,0.151930635,0.224079909,0.188075337,0.007748316,0.031843391,0.084496279,0.068865749,0.046496177,0.03852984,0.052824401,0.538882289,0.305073767,0.082045129,0.037948775,0.019855413,0.005509877,0.080342779,0.562787334,0.222463544,0.122622759,0.071489438,0.039762835,0.020902158,0.609151155,0.413894093,0.232645349,0.066940106,0.035767638,0.019484493,0.005076381,0.571370759,0.503044224,0.134708013,0.089588221,0.07249753,0.038861149,0.0202821,1467.217349,2.367084732,25.05745198,164.9683085,309.4711757,142.73694,339.2941474,214.4648487,0.36055604,6.09276533,42.65839963,28.6037165,13.10240459,9.098087663,0.116666667,1.95,1.15,0.366666667,0.166666667,0.1,0.033333333,0.15,1.866666667,0.833333333,0.533333333,0.316666667,0.2,0.116666667
72,Fall,0.297007058,0.069879186,0.097310765,0.102969214,0.115710384,0.113063869,0.082211385,0.123831007,0.004848512,0.031578209,0.041307874,0.054685251,0.052610078,0.052805862,0.126840503,0.337087146,0.290141383,0.125064248,0.050821745,0.024470162,0.014715079,0.109237209,0.647207851,0.303323317,0.177273135,0.074064963,0.031023688,0.013078686,0.489332066,0.191999406,0.222885664,0.118027906,0.053387528,0.024793364,0.014091509,0.203508267,0.595153415,0.189835844,0.167002329,0.074384251,0.03098578,0.011460335,484.4182794,29.30575463,56.8439174,63.63364816,81.03549082,74.3724533,41.71704585,89.50104261,0.141084281,5.97387683,10.24309128,17.9699808,16.82743186,17.4451329,0.2,1.133333333,1.033333333,0.483333333,0.233333333,0.116666667,0.083333333,0.216666667,5.2,0.95,0.666666667,0.333333333,0.15,0.066666667
72,Fall,0.225655718,0.041798117,0.072040607,0.112637227,0.096476743,0.074043023,0.073563436,0.281927502,0.042743494,0.065311282,0.057616003,0.105779885,0.065867159,0.07557531,0.168672464,0.503952598,0.350338999,0.135568419,0.071315554,0.045423545,0.019071248,0.092168432,0.281056583,0.277958644,0.187469981,0.059123694,0.042041606,0.022857861,0.610451527,0.373983317,0.272781237,0.133047431,0.071307349,0.045189645,0.018753929,0.499073657,0.165915817,0.201102039,0.180598761,0.056880223,0.041792312,0.021845115,300.1908696,10.48563179,31.15018715,76.35539473,56.35055365,32.98991558,33.10700185,253.7146696,10.96234404,25.60399495,19.92198796,67.44105676,26.28239611,34.51253851,0.366666667,1.666666667,1.183333333,0.533333333,0.3,0.216666667,0.1,0.3,1.583333333,0.916666667,0.75,0.266666667,0.2,0.116666667
