Subject,Type,ApEn.copx.IMF1,ApEn.copx.IMF2,ApEn.copx.IMF3,ApEn.copx.IMF4,ApEn.copx.IMF5,ApEn.copy,ApEn.copy.IMF2,ApEn.copy.IMF4,ApEn.copy.IMF5,ApEn.copy.IMF6,SampEn.copx,SampEn.copx.IMF1,SampEn.copx.IMF2,SampEn.copx.IMF3,SampEn.copx.IMF4,SampEn.copx.IMF5,SampEn.copy,SampEn.copy.IMF1,SampEn.copy.IMF2,SampEn.copy.IMF4,SampEn.copy.IMF5,SampEn.copy.IMF6,MF.copx.IMF1,MF.copx.IMF2,MF.copx.IMF3,MF.copx.IMF4,MF.copx.IMF5,MF.copy.IMF2,MF.copy.IMF4,MF.copy.IMF5
64,Fall,0.154024533,0.336948176,0.139010246,0.059698049,0.034983565,0.103288109,0.16650832,0.073208616,0.037296586,0.01973659,0.357936484,0.09335679,0.253642897,0.114656354,0.061154948,0.035324764,0.161928261,0.596811895,0.089650926,0.072108402,0.037970908,0.019739799,1.233333333,1.266666667,0.516666667,0.266666667,0.166666667,0.583333333,0.35,0.183333333
64,Fall,0.496533491,0.326528845,0.113508586,0.052683277,0.024037637,0.078585053,0.206236454,0.071608267,0.039680173,0.009422704,0.558382955,0.371218644,0.235345051,0.097967839,0.052634478,0.024299594,0.465860432,0.575686252,0.140064285,0.066950528,0.040312077,0.009296646,2.2,1.1,0.483333333,0.266666667,0.116666667,0.8,0.35,0.2
64,Fall,0.538882289,0.305073767,0.082045129,0.037948775,0.019855413,0.080342779,0.222463544,0.071489438,0.039762835,0.020902158,0.609151155,0.413894093,0.232645349,0.066940106,0.035767638,0.019484493,0.571370759,0.503044224,0.134708013,0.07249753,0.038861149,0.0202821,1.95,1.15,0.366666667,0.166666667,0.1,0.833333333,0.316666667,0.2
72,Fall,0.337087146,0.290141383,0.125064248,0.050821745,0.024470162,0.109237209,0.303323317,0.074064963,0.031023688,0.013078686,0.489332066,0.191999406,0.222885664,0.118027906,0.053387528,0.024793364,0.203508267,0.595153415,0.189835844,0.074384251,0.03098578,0.011460335,1.133333333,1.033333333,0.483333333,0.233333333,0.116666667,0.95,0.333333333,0.15
72,Fall,0.503952598,0.350338999,0.135568419,0.071315554,0.045423545,0.092168432,0.277958644,0.059123694,0.042041606,0.022857861,0.610451527,0.373983317,0.272781237,0.133047431,0.071307349,0.045189645,0.499073657,0.165915817,0.201102039,0.056880223,0.041792312,0.021845115,1.666666667,1.183333333,0.533333333,0.3,0.216666667,0.916666667,0.266666667,0.2
72,Fall,0.466887134,0.334647532,0.184949174,0.071706911,0.033130474,0.130598531,0.263663635,0.068389826,0.028791311,0.012100366,0.597912345,0.285284405,0.293558171,0.179635412,0.075229522,0.033682804,0.484432308,0.514958469,0.159544378,0.066520631,0.027150884,0.011569317,1.766666667,1.1,0.716666667,0.333333333,0.166666667,1.033333333,0.333333333,0.133333333
75,Fall,0.374603934,0.302772387,0.099066654,0.077514388,0.037963074,0.046542512,0.241974891,0.060281606,0.033405984,0.011871587,0.533892866,0.264279739,0.26491046,0.092985459,0.073821501,0.036091296,0.250899737,0.519402033,0.159648288,0.058500415,0.034357102,0.010126527,1.45,1.033333333,0.366666667,0.35,0.2,0.85,0.3,0.166666667
75,Fall,0.387404014,0.270975846,0.112863239,0.06516656,0.03268296,0.074524944,0.276929267,0.062183178,0.031484002,0.014471918,0.567488628,0.24731751,0.232210965,0.106530657,0.061165694,0.032924509,0.335720832,0.199967358,0.202201727,0.059802976,0.032272597,0.014116236,1.583333333,0.966666667,0.433333333,0.316666667,0.166666667,1.05,0.283333333,0.15
75,Fall,0.416047671,0.273785847,0.120047788,0.066907332,0.032454109,0.108157433,0.205955664,0.052374996,0.020810671,0.0101036,0.548125134,0.258593814,0.226609291,0.118010846,0.064817458,0.030955493,0.439974072,0.06136119,0.176919946,0.052492455,0.021166268,0.006785303,1.4,0.966666667,0.516666667,0.333333333,0.166666667,0.716666667,0.233333333,0.1
78,Fall,0.287920721,0.240726862,0.107206931,0.03433021,0.020478817,0.093256775,0.207457223,0.073582462,0.037058429,0.0170594,0.48470046,0.137182607,0.229808647,0.109487059,0.033615438,0.020327467,0.317832727,0.018934786,0.115556727,0.067930562,0.037193739,0.017410321,1.133333333,0.933333333,0.466666667,0.166666667,0.1,0.816666667,0.35,0.183333333
78,Fall,0.355825038,0.230858728,0.118847393,0.044937891,0.023056236,0.037360641,0.252834489,0.062186233,0.023069952,0.010363343,0.457189545,0.177283178,0.203136877,0.103327899,0.046268884,0.022476072,0.222114682,0.082794844,0.184508751,0.064453806,0.020714273,0.010430489,1.216666667,0.883333333,0.533333333,0.2,0.116666667,0.883333333,0.3,0.133333333
78,Fall,0.300279909,0.236948879,0.063691932,0.030198049,0.015634239,0.082353918,0.263484365,0.063900849,0.030093978,0.013182569,0.350880987,0.125329301,0.214869051,0.064265505,0.030078427,0.016123625,0.112286865,0.040721319,0.190627864,0.062980341,0.028868742,0.013163186,1.166666667,0.9,0.283333333,0.133333333,0.083333333,0.916666667,0.3,0.15
79,Fall,0.594629763,0.178732975,0.100434398,0.065918649,0.029323635,0.13066415,0.196717861,0.08594939,0.036199919,0.015241384,0.650936829,0.526447665,0.083172858,0.091015557,0.066369211,0.030697493,0.597595449,0.032488282,0.073778207,0.08455202,0.037447757,0.014874084,2.7,0.85,0.416666667,0.333333333,0.15,0.866666667,0.4,0.183333333
79,Fall,0.638507797,0.262233538,0.086425311,0.049577697,0.029042688,0.090738761,0.180241076,0.059276567,0.033265346,0.014401742,0.692474158,0.589685336,0.176295335,0.073042959,0.049495214,0.029104117,0.666837281,0.532489971,0.09298932,0.056894464,0.029877064,0.013550495,4.533333333,0.933333333,0.3,0.216666667,0.133333333,0.683333333,0.233333333,0.166666667
79,Fall,0.619388034,0.281953288,0.087463814,0.046368463,0.030811883,0.072891693,0.272642276,0.064112574,0.038405959,0.022566101,0.700831597,0.559161711,0.186760863,0.07483542,0.046887077,0.029434441,0.61996766,0.576757144,0.182235314,0.062308637,0.038642558,0.020639809,3.966666667,1,0.366666667,0.2,0.15,0.95,0.3,0.183333333
81,Fall,0.245810068,0.205185964,0.09988245,0.045041346,0.027024887,0.124460603,0.204108363,0.079610465,0.045217009,0.019235131,0.236918074,0.088726669,0.138871778,0.098080816,0.044199168,0.025414171,0.078976083,0.036769185,0.05846529,0.078503174,0.045975122,0.019392012,1.05,0.933333333,0.45,0.2,0.133333333,0.933333333,0.383333333,0.216666667
81,Fall,0.218463469,0.22731476,0.107537555,0.049518909,0.030557481,0.167922079,0.192865092,0.067886804,0.033017632,0.006861559,0.350185484,0.077785135,0.148854686,0.097882408,0.049299134,0.02954637,0.292465819,0.028816959,0.147401612,0.063457084,0.032704393,0.006309742,0.95,0.916666667,0.5,0.25,0.15,0.75,0.35,0.166666667
81,Fall,0.299177082,0.20210969,0.109297034,0.05285641,0.032484361,0.04341222,0.200954997,0.050619408,0.022421935,0.011016892,0.416661798,0.130581123,0.161464931,0.098196604,0.053720865,0.030843838,0.162840346,0.042437744,0.12785244,0.052587224,0.022635066,0.010809169,1.133333333,0.783333333,0.45,0.216666667,0.166666667,0.816666667,0.216666667,0.116666667
82,Fall,0.165738251,0.191496048,0.106749516,0.056417493,0.021040444,0.053804454,0.185800353,0.052574906,0.034878101,0.01171849,0.326312818,0.040625068,0.157339005,0.101106355,0.042097583,0.021227895,0.139353672,0.007434543,0.094222399,0.053021098,0.035692377,0.011430038,0.8,0.766666667,0.45,0.266666667,0.116666667,0.766666667,0.25,0.166666667
82,Fall,0.333705622,0.220152342,0.115330911,0.057998747,0.030714228,0.031716153,0.140086329,0.059507192,0.038309122,0.011500809,0.610266497,0.231943697,0.181347991,0.115980777,0.059320706,0.032380473,0.466498837,0.61072408,0.062830628,0.056015029,0.037293037,0.011842003,1.216666667,0.833333333,0.483333333,0.266666667,0.15,0.633333333,0.25,0.183333333
82,Fall,0.124913808,0.187406457,0.100920328,0.06190143,0.022722966,0.056935127,0.189211616,0.053319227,0.026379742,0.018229901,0.305010625,0.021700256,0.124907073,0.09287845,0.061710844,0.022593123,0.217536545,0.354136279,0.09084797,0.0544842,0.026618106,0.018224105,0.733333333,0.7,0.45,0.3,0.1,0.766666667,0.25,0.133333333
85,Fall,0.343112462,0.23396845,0.129819856,0.057255916,0.020903651,0.062439423,0.258938274,0.069570157,0.038306802,0.018840624,0.424818532,0.194147192,0.147484546,0.126459355,0.058267174,0.020779751,0.161604903,0.123543992,0.176061331,0.068857622,0.038362743,0.017580987,1.366666667,0.966666667,0.583333333,0.266666667,0.1,0.916666667,0.333333333,0.183333333
